Post title,Created date,Engagement rate
"Mooi om de kans te hebben  als KickstartAI bij het maandelijkse #BroodjeAI te zijn – een sessie georganiseerd door Ministerie van Justitie en Veiligheid, Michel van Leeuwen en zijn AI team.

Erick Webbe en Rogier Klimbie vertelden over hoe KickstartAI projecten opzet en uitvoert, deelden onze belangrijkste lessen en gingen in gesprek met meer dan 100 online aanwezige ambtenaren uit het #justitie domein.

🤝 Nogmaals veel dank aan Michel, Caspar Heetman Heetman en Elise Kolen voor de organisatie en de uitnodiging!",01/15/2026,0.0
"Join us for a technical KickstartAI x PyData Amsterdam meetup all about engineering LLMs: from building sovereign models to privacy-first deployments. 

What's on the agenda: 

🇳🇱 GPT-NL: Developing a Dutch LLM from scratch
Julio Alexandrino Oliveira Filho, Lead System Architect at GPT-NL & Alexandru Turcu, AI Engineer at TNO

🤖 Bring your own LLM: Building GitLab Duo for privacy-first environments
Eduardo Bonet, Principal AI Engineer GitLab

PS: Dinner and drinks on us! RSVP below 👇 

#LLMs #AICommunity #AI #AIMeetup",01/14/2026,0.054119545966386795
"How much did AI models actually advance in 2025?

🎧 In our latest podcast, we use a simple benchmark – a pelican riding a bike – to show how model capabilities changed across the year. 

Cascha van Wanrooij, Evertjan Peer, and Nic van Vliet discuss how each release brought small, visible improvements over time that, taken together,  raise the question: has the benchmark become saturated?

👇 Listen to the full conversation below: 
Spotify: https://lnkd.in/e9TTVz9G
Apple Podcasts: https://lnkd.in/e_WrtitT

#TheKickstartAIPodcast #LLMs #AIProgress #Benchmarks ",01/12/2026,0.04383886232972145
"To start the new year fresh and away from our screens, we’re bringing the KickstartAI community together for a Meet & Greet brunch at the Hortus Botanicus in Amsterdam, on January 23! 

What to expect:
🥐 A relaxed brunch on us
🤝 Guided networking
📉 A short expert update on the state of Responsible AI in the Netherlands
🧩 A “Give & Get” session linking challenges with community expertise
🌿 An optional guided tour through the botanical gardens to wrap up

Spots are limited! Register using the link below 👇 ",01/12/2026,0.0
"What did the great minds in AI say about 2025’s progress – and what do they predict for the future?

🎙️ In our latest podcast, Cascha van Wanrooij, Evertjan Peer, and Nic van Vliet reflect on why leading AI thinkers interpret last year's developments so differently: from post-scaling researchers like Ilya Sutskever calling for new ideas, to fundamental sceptics such as Richard Sutton questioning today's dominant approaches, and to lab leaders like Demis Hassabis continuing to see scaling as the main driver of progress. 

How do these differences carry over to views on AGI?

🎧 Listen to the full conversation here: https://lnkd.in/e9TTVz9G

#AI #AGI #AIResearch #TheKickstartAIPodcast",01/09/2026,0.09382329881191254
"In an interconnected economy, shocks rarely occur in isolation and can reinforce each other, escalating into broader crises.

In this ESB article below, our ML engineer Cascha van Wanrooij, together with Barbara Baarsma and Ruth Smalbraak, analyze what this means for economic risks and resilience in the Netherlands. The article draws on a meta-analysis of more than 5,000 policy documents, using AI to identify and map interdependencies, as part of DenkWerk’s 2025 report: “Resilience by design – the five principles for a resilient Netherlands.”

👉 Link to the full analysis: https://lnkd.in/ejk3h7F7",01/08/2026,0.025723472237586975
"At KickstartAI, we bring together people who want to push AI forward by building on each other’s knowledge and creating positive social impact.
As we move into 2026, we’re excited to continue our mission to accelerate AI adoption in the Netherlands and build on what we achieved in 2025:

🤝 Growing our community of AI professionals and strengthening knowledge sharing through hands-on sessions, workshops, expert blogs, and our podcast.

🚀 Opening up TechDays – our flagship AI event – to the wider Dutch ecosystem for the first time, creating space for organisations to exchange experiences and learn from one another.

⚙️ Staying focused on applying AI in real-world settings rather than in labs, we completed three projects with Ampère, Erasmus MC and Stichting Voedselbanken Nederland, and continued working with partners such as ING, KLM Royal Dutch Airlines, Nederlandse Spoorwegen, and Ahold Delhaize
on use cases ranging from detecting unattended objects at train stations to building a financial health chatbot and optimising fuel planning.

🏆 Co-organizing the National AI Challenge for the second year in a row with AI Coalitie 4 Nederland | AIC4NL, and working with the two winners – Leiden University Medical Center and Politie Nederland – on developing solutions for automated wound reporting and supporting the fight against environmental crime.

🏛️ Taking part in working visits with Dutch ministries to share insights on AI adoption.

Below is a glimpse of what we stand for 👇 

#AI #AINetherlands #AIAdoption #AICommunity ",01/06/2026,0.09167077392339706
"🚀 We’re proud to share that KickstartAI has been nominated as one of the five finalists for the National AI Awards 2025 by AIMAZE NL, in the category AI Company of the Year.

It’s an honour to be recognized alongside Cradle, Artific, The Automation Group, and Tellet!

The final outcome will be determined through public voting, which is open till January 12.
👉 You can cast your vote here: https://lnkd.in/eQf2KeXS",01/05/2026,0.05990220233798027
"Over the past year, we've spoken with experts to look closely at how AI is being researched, tested, and applied across the Netherlands. 

A few highlights from our blog series:
🔸 Exploring multimodal models for biodiversity: https://lnkd.in/eNxC6RDM
🔸 How Dutch healthcare is implementing AI: https://lnkd.in/e_fVj5aX
🔸 Shield or sword? AI in safety and security: https://lnkd.in/eKpneRZb
🔸 How AI is tested in Dutch schools: https://lnkd.in/eM3RpM7X
🔸 EU AI Act: risks, rules, and the innovation question: https://lnkd.in/ejdddMqH
🔸 Innovating wholesale banking with AI – insights from ING: https://lnkd.in/eVy89qAP

Curious to learn more? Check out the full blog series: https://kickstart.ai/news

#AI #AIintheNetherlands ",12/24/2025,0.03995680436491966
"🚀 Meet Julian von der Goltz, ML Engineer at KickstartAI!

With a background in aerospace engineering, computer vision, and six years working on AI-powered drone inspection systems, he enjoys exploring how machine learning can be applied in new domains.

As part of our team, he develops AI solutions with positive societal impact, from improving wound care with LUMC to building a financial-health chatbot with ING.

💡 His advice to people considering a career in AI?
“Understand how models are made and trained. It’ll help you build with or on top of AI yourself”

Read his full story below (see comments) 👇 ",12/29/2025,0.09896249324083328
